dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,2.252000e+00,2.252000e-03,7.559330e-02,1.322869e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,63,250047,7,2.447539e-11,1.164109e-05,3.174501e-05,4.790000e+00,4.790000e-03,1.915640e-02,5.220188e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,2.225400e+01,2.225400e-02,8.899927e-02,1.123605e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,1.243200e+01,1.243200e-02,4.971865e-02,2.011318e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,7.766000e+00,7.766000e-03,3.105816e-02,3.219766e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,7.272000e+00,7.272000e-03,2.908253e-02,3.438490e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,1.149400e+01,1.149400e-02,4.596736e-02,2.175457e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,9.558000e+00,9.558000e-03,3.822481e-02,2.616102e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,63,250047,7,2.447558e-11,1.164109e-05,3.174501e-05,8.842000e+00,8.842000e-03,3.536135e-02,2.827946e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,127,2048383,7,3.295882e-11,2.912975e-06,7.951025e-06,1.480400e+01,1.480400e-02,7.227164e-03,1.383669e+08,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,2.296500e+02,2.296500e-01,1.121128e-01,8.919586e+06,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,1.339810e+02,1.339810e-01,6.540818e-02,1.528861e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,8.056800e+01,8.056800e-02,3.933249e-02,2.542428e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,6.115600e+01,6.115600e-02,2.985574e-02,3.349439e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,5.602700e+01,5.602700e-02,2.735182e-02,3.656064e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,5.625100e+01,5.625100e-02,2.746117e-02,3.641505e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,127,2048383,7,3.296255e-11,2.912975e-06,7.951025e-06,5.727900e+01,5.727900e-02,2.796303e-02,3.576150e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,255,16581375,7,3.917058e-11,7.284113e-07,1.988774e-06,1.343440e+02,1.343440e-01,8.102103e-03,1.234248e+08,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,2.282067e+03,2.282067e+00,1.376283e-01,7.265946e+06,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.458117e+03,1.458117e+00,8.793704e-02,1.137177e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.133012e+03,1.133012e+00,6.833040e-02,1.463477e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.041384e+03,1.041384e+00,6.280444e-02,1.592244e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.096582e+03,1.096582e+00,6.613336e-02,1.512096e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.125875e+03,1.125875e+00,6.789998e-02,1.472755e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,255,16581375,7,3.916798e-11,7.284113e-07,1.988774e-06,1.199464e+03,1.199464e+00,7.233803e-02,1.382399e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,31,29791,6,3.866394e-10,2.841075e-04,8.035775e-04,2.974000e+00,2.974000e-03,9.982881e-02,1.001715e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,2.462000e+00,2.462000e-03,8.264241e-02,1.210032e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,1.507000e+00,1.507000e-03,5.058575e-02,1.976841e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,1.104000e+00,1.104000e-03,3.705817e-02,2.698460e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,1.013000e+00,1.013000e-03,3.400356e-02,2.940869e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,2.749000e+00,2.749000e-03,9.227619e-02,1.083703e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,2.116000e+00,2.116000e-03,7.102816e-02,1.407892e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,31,29791,6,3.866365e-10,2.841075e-04,8.035775e-04,2.008000e+00,2.008000e-03,6.740291e-02,1.483616e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,63,250047,6,4.725824e-10,7.100115e-05,2.008216e-04,4.170000e+00,4.170000e-03,1.667686e-02,5.996331e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,1.909800e+01,1.909800e-02,7.637764e-02,1.309284e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,1.015300e+01,1.015300e-02,4.060437e-02,2.462789e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,6.692000e+00,6.692000e-03,2.676297e-02,3.736506e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,6.043000e+00,6.043000e-03,2.416746e-02,4.137796e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,7.328000e+00,7.328000e-03,2.930649e-02,3.412213e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,1.005400e+01,1.005400e-02,4.020844e-02,2.487040e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,63,250047,6,4.725820e-10,7.100115e-05,2.008216e-04,7.222000e+00,7.222000e-03,2.888257e-02,3.462296e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,127,2048383,6,4.964220e-10,1.774862e-05,5.020067e-05,1.233300e+01,1.233300e-02,6.020847e-03,1.660896e+08,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,2.009120e+02,2.009120e-01,9.808322e-02,1.019542e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,1.124030e+02,1.124030e-01,5.487402e-02,1.822356e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,6.886000e+01,6.886000e-02,3.361676e-02,2.974707e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,5.753500e+01,5.753500e-02,2.808801e-02,3.560238e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,5.137400e+01,5.137400e-02,2.508027e-02,3.987198e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,5.870600e+01,5.870600e-02,2.865968e-02,3.489223e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,127,2048383,6,4.964209e-10,1.774862e-05,5.020067e-05,7.345900e+01,7.345900e-02,3.586195e-02,2.788471e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,255,16581375,6,5.019013e-10,4.436989e-06,1.254970e-05,1.221700e+02,1.221700e-01,7.367905e-03,1.357238e+08,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,1.976211e+03,1.976211e+00,1.191826e-01,8.390488e+06,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,1.266053e+03,1.266053e+00,7.635392e-02,1.309690e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,9.980360e+02,9.980360e-01,6.019018e-02,1.661400e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,9.617580e+02,9.617580e-01,5.800231e-02,1.724069e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,9.602680e+02,9.602680e-01,5.791245e-02,1.726745e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,9.548750e+02,9.548750e-01,5.758720e-02,1.736497e+07,1.000000e-09,150,5,true,wrapper
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,255,16581375,6,5.019083e-10,4.436989e-06,1.254970e-05,1.018769e+03,1.018769e+00,6.144056e-02,1.627589e+07,1.000000e-09,150,5,true,wrapper
